mission_id,object_id,track_id,class,motion_state,association_status,association_confidence,pos_x_local,pos_y_local,pos_z_local,coordinate_system,scale_status,reprojection_error_px,observations_count,metric_length_m,metric_width_m,metric_height_m
north-ridge,OBJ_T0074,T0074,van,STATIC,VALID,0.666,-5.3260,-2.7870,21.6380,LOCAL_ARBITRARY,RELATIVE_SCALE,4.7500,2,,,
north-ridge,OBJ_T0075,T0075,van,STATIC,LOW_CONFIDENCE,0.548,-5.5270,-1.1760,16.0640,LOCAL_ARBITRARY,RELATIVE_SCALE,0.0600,1,,,
north-ridge,OBJ_T0076,T0076,van,STATIC,VALID,0.703,-2.2710,-2.1220,19.4900,LOCAL_ARBITRARY,RELATIVE_SCALE,2.8500,2,,,
north-ridge,OBJ_T0077,T0077,van,STATIC,VALID,0.478,-1.9960,-1.9830,19.2820,LOCAL_ARBITRARY,RELATIVE_SCALE,18.7700,2,,,
north-ridge,OBJ_T0078,T0078,van,STATIC,LOW_CONFIDENCE,0.555,-4.1940,-3.4770,24.2510,LOCAL_ARBITRARY,RELATIVE_SCALE,0.0300,1,,,
north-ridge,OBJ_T0079,T0079,van,STATIC,VALID,0.632,-4.9650,-1.8220,18.2690,LOCAL_ARBITRARY,RELATIVE_SCALE,6.9700,2,,,
north-ridge,OBJ_T0080,T0080,pedestrian,STATIC,LOW_CONFIDENCE,0.609,-1.5030,-2.8040,20.5640,LOCAL_ARBITRARY,RELATIVE_SCALE,0.0600,1,,,
north-ridge,OBJ_T0081,T0081,van,STATIC,LOW_CONFIDENCE,0.582,2.2390,-3.4420,19.3660,LOCAL_ARBITRARY,RELATIVE_SCALE,0.0400,1,,,
north-ridge,OBJ_T0082,T0082,van,STATIC,LOW_CONFIDENCE,0.559,2.8390,-3.5120,19.9780,LOCAL_ARBITRARY,RELATIVE_SCALE,0.0600,1,,,
north-ridge,OBJ_T0083,T0083,pedestrian,STATIC,LOW_CONFIDENCE,0.554,-5.4090,-2.1250,19.3260,LOCAL_ARBITRARY,RELATIVE_SCALE,0.0400,1,,,
north-ridge,OBJ_T0084,T0084,van,STATIC,LOW_CONFIDENCE,0.545,-4.9170,-1.7780,18.2550,LOCAL_ARBITRARY,RELATIVE_SCALE,0.1300,1,,,
north-ridge,OBJ_T0085,T0085,van,STATIC,LOW_CONFIDENCE,0.547,4.6790,-2.7460,16.7510,LOCAL_ARBITRARY,RELATIVE_SCALE,0.0400,1,,,
